"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","test_weather_api_returns_correct_city_name[Podgorica]","tests","Thu Mar 06 12:11:36 GMT 2025","passed","Thu Mar 06 12:11:36 GMT 2025","","test_api","",""
"","54","test_weather_api_returns_correct_city_name[Dubrovnik]","tests","Thu Mar 06 12:11:36 GMT 2025","passed","Thu Mar 06 12:11:36 GMT 2025","","test_api","",""
"","39","test_get_weather_by_zip_code_without_api_key","tests","Thu Mar 06 12:11:37 GMT 2025","passed","Thu Mar 06 12:11:37 GMT 2025","","test_api","",""
"","11225","test_units_toggle_button[chromium]","tests","Thu Mar 06 12:13:36 GMT 2025","passed","Thu Mar 06 12:13:47 GMT 2025","","test_switch_units","",""
"","14207","test_ci_different_weather_send_button_is_clickable[chromium]","tests","Thu Mar 06 12:11:53 GMT 2025","passed","Thu Mar 06 12:12:07 GMT 2025","","test_different_weather","",""
"","73","test_weather_api_returns_correct_city_name[London]","tests","Thu Mar 06 12:11:36 GMT 2025","passed","Thu Mar 06 12:11:36 GMT 2025","","test_api","",""
"","83","test_weather_api_returns_correct_city_by_id[Berlin]","tests","Thu Mar 06 12:11:37 GMT 2025","passed","Thu Mar 06 12:11:37 GMT 2025","","test_api","",""
"","5118","test_get_location[chromium]","tests","Thu Mar 06 12:13:22 GMT 2025","passed","Thu Mar 06 12:13:27 GMT 2025","","test_geolocation","",""
"","8174","test_map_is_movable[chromium]","tests","Thu Mar 06 12:13:28 GMT 2025","passed","Thu Mar 06 12:13:36 GMT 2025","","test_map","",""
"","81","test_weather_api_returns_correct_city_by_id[London]","tests","Thu Mar 06 12:11:37 GMT 2025","passed","Thu Mar 06 12:11:37 GMT 2025","","test_api","",""
"","89","test_weather_api_returns_correct_city_by_id[Dubrovnik]","tests","Thu Mar 06 12:11:37 GMT 2025","passed","Thu Mar 06 12:11:37 GMT 2025","","test_api","",""
"","5139","test_search_city_field_is_available[chromium]","tests","Thu Mar 06 12:13:02 GMT 2025","passed","Thu Mar 06 12:13:07 GMT 2025","","test_find_location","",""
"","6552","test_date_and_time[chromium]","tests","Thu Mar 06 12:11:38 GMT 2025","passed","Thu Mar 06 12:11:44 GMT 2025","","test_date_and_time","",""
"","39","test_get_weather_by_city_name_without_api_key","tests","Thu Mar 06 12:11:36 GMT 2025","passed","Thu Mar 06 12:11:37 GMT 2025","","test_api","",""
"","8132","test_different_weather_pop_up[chromium]","tests","Thu Mar 06 12:11:44 GMT 2025","passed","Thu Mar 06 12:11:53 GMT 2025","","test_different_weather","",""
"","54063","test_each_day_of_eight_day_forecast[chromium]","tests","Thu Mar 06 12:12:08 GMT 2025","passed","Thu Mar 06 12:13:02 GMT 2025","","test_eight_day_forecast","",""
"","40","test_weather_api_returns_correct_city_name[Berlin]","tests","Thu Mar 06 12:11:36 GMT 2025","passed","Thu Mar 06 12:11:36 GMT 2025","","test_api","",""
"","14152","test_right_location_is_displayed_after_searching[chromium]","tests","Thu Mar 06 12:13:07 GMT 2025","passed","Thu Mar 06 12:13:22 GMT 2025","","test_find_location","",""
"","86","test_weather_api_returns_correct_city_by_id[Podgorica]","tests","Thu Mar 06 12:11:37 GMT 2025","passed","Thu Mar 06 12:11:37 GMT 2025","","test_api","",""
"","11299","test_units_convertion[chromium]","tests","Thu Mar 06 12:13:48 GMT 2025","passed","Thu Mar 06 12:13:59 GMT 2025","","test_switch_units","",""
